entity,entity_type,degree_centrality,degree,total_weight,eigenvector_centrality,pagerank,betweenness_centrality,closeness_centrality,time_window,network_type,momentum_delta,momentum_label
New York City FC,club,0.777778,21,73,0.228902,0.055971,0.110141,0.794118,2018_Q1,club_cooccurrence,0.021561,rising
Portland Timbers,club,0.37037,10,30,0.110279,0.02433,0.022175,0.6,2018_Q1,club_cooccurrence,-0.025711,falling
Sporting Kansas City,club,0.62963,17,45,0.144138,0.034828,0.100929,0.710526,2018_Q1,club_cooccurrence,0.002672,rising
Inter Miami CF,club,0.296296,8,37,0.110807,0.032101,0.019943,0.586957,2018_Q1,club_cooccurrence,0.001241,stable
FC Cincinnati,club,0.111111,3,8,0.015202,0.012163,0.0,0.482143,2018_Q1,club_cooccurrence,-0.00976,falling
Nashville SC,club,0.185185,5,11,0.025161,0.014561,0.041168,0.519231,2018_Q1,club_cooccurrence,-0.005938,falling
Real Salt Lake,club,0.185185,5,17,0.063617,0.016553,0.0,0.529412,2018_Q1,club_cooccurrence,-0.00347,falling
Minnesota United FC,club,0.481481,13,47,0.119946,0.038103,0.010236,0.658537,2018_Q1,club_cooccurrence,0.005535,rising
Philadelphia Union,club,0.444444,12,29,0.087856,0.024525,0.072256,0.642857,2018_Q1,club_cooccurrence,-0.00823,falling
LA Galaxy,club,0.740741,20,100,0.325839,0.071645,0.000712,0.794118,2018_Q1,club_cooccurrence,0.011712,rising
LAFC,club,0.62963,17,88,0.338074,0.062788,0.05057,0.72973,2018_Q1,club_cooccurrence,0.021894,rising
Atlanta United FC,club,0.555556,15,53,0.178771,0.039998,0.030009,0.675,2018_Q1,club_cooccurrence,-0.004435,falling
FC Dallas,club,0.185185,5,11,0.047577,0.012111,0.011735,0.5,2018_Q1,club_cooccurrence,-0.023842,falling
Colorado Rapids,club,0.444444,12,36,0.125306,0.033364,0.088414,0.642857,2018_Q1,club_cooccurrence,-0.001582,stable
Toronto FC,club,0.740741,20,106,0.384392,0.074377,0.035904,0.794118,2018_Q1,club_cooccurrence,0.025774,rising
CF Montreal,club,0.666667,18,72,0.264485,0.052072,0.054179,0.75,2018_Q1,club_cooccurrence,0.007711,rising
D.C. United,club,0.481481,13,49,0.164887,0.03719,0.016646,0.642857,2018_Q1,club_cooccurrence,-0.001366,stable
Seattle Sounders FC,club,0.666667,18,97,0.365699,0.067934,0.010446,0.75,2018_Q1,club_cooccurrence,0.014184,rising
Vancouver Whitecaps FC,club,0.518519,14,45,0.171846,0.03417,0.02811,0.658537,2018_Q1,club_cooccurrence,-0.0017,stable
New England Revolution,club,0.333333,9,24,0.088767,0.020919,0.043379,0.574468,2018_Q1,club_cooccurrence,-0.003807,falling
Houston Dynamo FC,club,0.481481,13,33,0.122416,0.026447,0.052469,0.642857,2018_Q1,club_cooccurrence,-0.011431,falling
San Jose Earthquakes,club,0.222222,6,19,0.053558,0.018287,0.00095,0.529412,2018_Q1,club_cooccurrence,-0.004255,falling
Charlotte FC,club,0.037037,1,2,0.003872,0.006933,0.0,0.397059,2018_Q1,club_cooccurrence,0.001205,stable
Inter Miami CF,club,0.269231,7,23,0.113702,0.027664,0.024469,0.577778,2018_Q2,club_cooccurrence,-0.003816,falling
Minnesota United FC,club,0.653846,17,56,0.258048,0.059161,0.040835,0.742857,2018_Q2,club_cooccurrence,0.023826,rising
New York City FC,club,0.384615,10,24,0.130251,0.027417,0.063204,0.604651,2018_Q2,club_cooccurrence,-0.017774,falling
Columbus Crew,club,0.653846,17,54,0.277001,0.058701,0.09812,0.742857,2018_Q2,club_cooccurrence,0.002003,rising
Philadelphia Union,club,0.307692,8,17,0.086839,0.021842,0.04011,0.565217,2018_Q2,club_cooccurrence,-0.006798,falling
CF Montreal,club,0.653846,17,61,0.289071,0.063756,0.034371,0.742857,2018_Q2,club_cooccurrence,0.015539,rising
FC Cincinnati,club,0.384615,10,34,0.148308,0.039869,0.045726,0.604651,2018_Q2,club_cooccurrence,0.022826,rising
Houston Dynamo FC,club,0.5,13,31,0.145055,0.034992,0.081575,0.65,2018_Q2,club_cooccurrence,0.00283,rising
Sporting Kansas City,club,0.192308,5,11,0.052758,0.016008,0.007863,0.52,2018_Q2,club_cooccurrence,-0.017484,falling
Toronto FC,club,0.576923,15,44,0.238442,0.04616,0.097888,0.702703,2018_Q2,club_cooccurrence,-0.01533,falling
LA Galaxy,club,0.615385,16,70,0.353297,0.075,0.09105,0.722222,2018_Q2,club_cooccurrence,0.009211,rising
Nashville SC,club,0.230769,6,19,0.074475,0.024044,0.005812,0.530612,2018_Q2,club_cooccurrence,0.006514,rising
Atlanta United FC,club,0.346154,9,32,0.182811,0.03487,0.002154,0.577778,2018_Q2,club_cooccurrence,-0.007346,falling
Orlando City SC,club,0.5,13,37,0.217414,0.039168,0.029927,0.666667,2018_Q2,club_cooccurrence,0.00015,stable
Seattle Sounders FC,club,0.5,13,42,0.215561,0.044003,0.025055,0.634146,2018_Q2,club_cooccurrence,-0.016839,falling
LAFC,club,0.307692,8,26,0.151614,0.029525,0.008474,0.577778,2018_Q2,club_cooccurrence,-0.022316,falling
Chicago Fire FC,club,0.538462,14,49,0.257305,0.051396,0.023028,0.684211,2018_Q2,club_cooccurrence,0.015328,rising
New York Red Bulls,club,0.538462,14,45,0.244171,0.047079,0.01547,0.684211,2018_Q2,club_cooccurrence,0.002754,rising
Portland Timbers,club,0.538462,14,42,0.219671,0.043849,0.034444,0.666667,2018_Q2,club_cooccurrence,0.006663,rising
Colorado Rapids,club,0.538462,14,39,0.193722,0.042163,0.038803,0.666667,2018_Q2,club_cooccurrence,0.008008,rising
Vancouver Whitecaps FC,club,0.384615,10,32,0.171583,0.035538,0.02188,0.604651,2018_Q2,club_cooccurrence,0.000518,stable
D.C. United,club,0.5,13,49,0.261464,0.052144,0.024274,0.666667,2018_Q2,club_cooccurrence,0.014271,rising
FC Dallas,club,0.346154,9,26,0.158915,0.029028,0.009333,0.604651,2018_Q2,club_cooccurrence,0.004996,rising
Real Salt Lake,club,0.192308,5,12,0.072316,0.016418,0.005128,0.530612,2018_Q2,club_cooccurrence,-0.00187,stable
New England Revolution,club,0.230769,6,18,0.107604,0.022505,0.007009,0.565217,2018_Q2,club_cooccurrence,-0.000318,stable
San Jose Earthquakes,club,0.038462,1,2,0.01702,0.007377,0.0,0.42623,2018_Q2,club_cooccurrence,-0.013038,falling
Austin FC,club,0.076923,2,5,0.027162,0.010321,0.000769,0.472727,2018_Q2,club_cooccurrence,-0.006181,falling
CF Montreal,club,0.48,12,33,0.155024,0.039173,0.055019,0.641026,2018_Q3,club_cooccurrence,-0.014223,falling
Nashville SC,club,0.12,3,9,0.053087,0.01462,0.003333,0.5,2018_Q3,club_cooccurrence,-0.005081,falling
Philadelphia Union,club,0.68,17,52,0.233644,0.060997,0.128609,0.757576,2018_Q3,club_cooccurrence,0.034623,rising
FC Dallas,club,0.32,8,19,0.118453,0.02427,0.054833,0.595238,2018_Q3,club_cooccurrence,-0.001427,stable
Houston Dynamo FC,club,0.68,17,71,0.388123,0.077173,0.071111,0.757576,2018_Q3,club_cooccurrence,0.044067,rising
Seattle Sounders FC,club,0.6,15,53,0.297784,0.059584,0.090624,0.714286,2018_Q3,club_cooccurrence,0.004355,rising
Orlando City SC,club,0.28,7,18,0.098616,0.02331,0.013,0.555556,2018_Q3,club_cooccurrence,-0.015758,falling
Minnesota United FC,club,0.36,9,25,0.132644,0.030604,0.00875,0.595238,2018_Q3,club_cooccurrence,-0.012673,falling
Vancouver Whitecaps FC,club,0.48,12,33,0.156278,0.039535,0.022,0.641026,2018_Q3,club_cooccurrence,0.004342,rising
New York City FC,club,0.16,4,10,0.055295,0.015567,0.019833,0.510204,2018_Q3,club_cooccurrence,-0.023699,falling
Inter Miami CF,club,0.28,7,18,0.092781,0.02349,0.006784,0.543478,2018_Q3,club_cooccurrence,-0.006718,falling
Chicago Fire FC,club,0.56,14,47,0.200678,0.054039,0.0175,0.675676,2018_Q3,club_cooccurrence,0.012862,rising
D.C. United,club,0.52,13,41,0.199908,0.046535,0.023519,0.657895,2018_Q3,club_cooccurrence,0.003905,rising
LA Galaxy,club,0.72,18,73,0.393151,0.078418,0.038325,0.78125,2018_Q3,club_cooccurrence,0.009559,rising
Colorado Rapids,club,0.44,11,38,0.216868,0.04302,0.021667,0.625,2018_Q3,club_cooccurrence,0.006196,rising
New York Red Bulls,club,0.56,14,49,0.240813,0.054906,0.013056,0.675676,2018_Q3,club_cooccurrence,0.009663,rising
Sporting Kansas City,club,0.16,4,9,0.061857,0.014409,0.006222,0.520833,2018_Q3,club_cooccurrence,-0.013255,falling
Portland Timbers,club,0.4,10,22,0.121457,0.027406,0.071241,0.609756,2018_Q3,club_cooccurrence,-0.012001,falling
LAFC,club,0.32,8,32,0.192501,0.037177,0.0,0.581395,2018_Q3,club_cooccurrence,-0.007225,falling
Toronto FC,club,0.6,15,52,0.267141,0.059491,0.034812,0.714286,2018_Q3,club_cooccurrence,0.003111,rising
Real Salt Lake,club,0.08,2,5,0.029874,0.010681,0.0,0.471698,2018_Q3,club_cooccurrence,-0.006984,falling
San Jose Earthquakes,club,0.44,11,29,0.17709,0.033985,0.025568,0.641026,2018_Q3,club_cooccurrence,0.017916,rising
New England Revolution,club,0.4,10,24,0.118921,0.029372,0.046389,0.609756,2018_Q3,club_cooccurrence,0.006655,rising
Columbus Crew,club,0.4,10,40,0.214107,0.049347,0.092167,0.625,2018_Q3,club_cooccurrence,-0.008019,falling
Atlanta United FC,club,0.4,10,34,0.202773,0.038734,0.003611,0.609756,2018_Q3,club_cooccurrence,-0.001033,stable
Austin FC,club,0.04,1,8,0.040333,0.014157,0.0,0.390625,2018_Q3,club_cooccurrence,-0.000285,stable
Real Salt Lake,club,0.461538,12,38,0.092432,0.024014,0.018821,0.634146,2018_Q4,club_cooccurrence,0.009463,rising
Sporting Kansas City,club,0.730769,19,85,0.232149,0.046528,0.018718,0.764706,2018_Q4,club_cooccurrence,0.02478,rising
Austin FC,club,0.461538,12,49,0.12394,0.030071,0.01265,0.65,2018_Q4,club_cooccurrence,0.017426,rising
CF Montreal,club,0.653846,17,59,0.143541,0.03472,0.02979,0.722222,2018_Q4,club_cooccurrence,-0.016947,falling
Columbus Crew,club,0.730769,19,122,0.312492,0.06536,0.001026,0.787879,2018_Q4,club_cooccurrence,0.010244,rising
FC Cincinnati,club,0.346154,9,36,0.080795,0.024164,0.002331,0.604651,2018_Q4,club_cooccurrence,-0.001852,stable
Toronto FC,club,0.538462,14,52,0.153482,0.03026,0.011923,0.666667,2018_Q4,club_cooccurrence,-0.029749,falling
Vancouver Whitecaps FC,club,0.769231,20,64,0.153702,0.037751,0.131026,0.8125,2018_Q4,club_cooccurrence,0.001337,stable
Seattle Sounders FC,club,0.769231,20,102,0.278333,0.055596,0.02453,0.8125,2018_Q4,club_cooccurrence,-0.001578,stable
Houston Dynamo FC,club,0.576923,15,51,0.131886,0.030329,0.058531,0.684211,2018_Q4,club_cooccurrence,-0.015875,falling
Inter Miami CF,club,0.384615,10,46,0.083715,0.033093,0.007949,0.619048,2018_Q4,club_cooccurrence,0.005341,rising
Nashville SC,club,0.5,13,40,0.082362,0.026661,0.06007,0.666667,2018_Q4,club_cooccurrence,0.008919,rising
Atlanta United FC,club,0.730769,19,110,0.313142,0.058935,0.02,0.787879,2018_Q4,club_cooccurrence,0.021068,rising
New England Revolution,club,0.461538,12,43,0.13522,0.025725,0.017844,0.634146,2018_Q4,club_cooccurrence,0.00146,stable
New York Red Bulls,club,0.730769,19,100,0.265093,0.054568,0.001538,0.787879,2018_Q4,club_cooccurrence,0.006841,rising
San Jose Earthquakes,club,0.346154,9,31,0.082121,0.020814,0.015487,0.604651,2018_Q4,club_cooccurrence,0.000931,stable
Portland Timbers,club,0.923077,24,170,0.439802,0.088036,0.013718,0.928571,2018_Q4,club_cooccurrence,0.056174,rising
LA Galaxy,club,0.769231,20,89,0.240023,0.049145,0.033656,0.8125,2018_Q4,club_cooccurrence,-0.025876,falling
Chicago Fire FC,club,0.423077,11,29,0.075209,0.01955,0.031128,0.619048,2018_Q4,club_cooccurrence,-0.02743,falling
Minnesota United FC,club,0.076923,2,12,0.010827,0.013094,0.0,0.433333,2018_Q4,club_cooccurrence,-0.029529,falling
Colorado Rapids,club,0.307692,8,19,0.040778,0.015902,0.093504,0.590909,2018_Q4,club_cooccurrence,-0.023614,falling
FC Dallas,club,0.807692,21,116,0.304749,0.062882,0.010878,0.83871,2018_Q4,club_cooccurrence,0.041079,rising
D.C. United,club,0.576923,15,52,0.142856,0.030656,0.014254,0.684211,2018_Q4,club_cooccurrence,-0.014634,falling
New York City FC,club,0.461538,12,45,0.138447,0.026825,0.016667,0.634146,2018_Q4,club_cooccurrence,-0.00616,falling
LAFC,club,0.576923,15,48,0.120807,0.029494,0.051329,0.702703,2018_Q4,club_cooccurrence,-0.013669,falling
Orlando City SC,club,0.692308,18,68,0.168376,0.038808,0.011305,0.742857,2018_Q4,club_cooccurrence,0.004257,rising
Philadelphia Union,club,0.576923,15,44,0.119822,0.027017,0.0806,0.702703,2018_Q4,club_cooccurrence,-0.008771,falling
Austin FC,club,0.888889,24,151,0.101986,0.027455,0.174217,0.9,2019,club_cooccurrence,0.009272,rising
Columbus Crew,club,0.962963,26,218,0.176096,0.036142,0.002137,0.964286,2019,club_cooccurrence,-0.021661,falling
FC Cincinnati,club,1.0,27,199,0.147292,0.034056,0.011633,1.0,2019,club_cooccurrence,0.002039,rising
Inter Miami CF,club,0.888889,24,185,0.129307,0.03242,0.010304,0.9,2019,club_cooccurrence,0.004338,rising
Nashville SC,club,0.851852,23,170,0.117378,0.030161,0.042972,0.870968,2019,club_cooccurrence,0.008386,rising
CF Montreal,club,0.962963,26,321,0.259489,0.050585,0.0,0.964286,2019,club_cooccurrence,0.004702,rising
FC Dallas,club,1.0,27,275,0.227882,0.044065,0.012583,1.0,2019,club_cooccurrence,0.005338,rising
Houston Dynamo FC,club,0.925926,25,134,0.111796,0.024136,0.055294,0.931034,2019,club_cooccurrence,-0.023362,falling
LA Galaxy,club,0.962963,26,339,0.274647,0.053133,0.0,0.964286,2019,club_cooccurrence,-0.014388,falling
Philadelphia Union,club,0.962963,26,221,0.17941,0.036626,0.0,0.964286,2019,club_cooccurrence,7e-06,stable
Seattle Sounders FC,club,1.0,27,441,0.355456,0.067672,0.0,1.0,2019,club_cooccurrence,0.014611,rising
Toronto FC,club,1.0,27,363,0.306072,0.056236,0.007123,1.0,2019,club_cooccurrence,0.010932,rising
Charlotte FC,club,0.444444,12,56,0.038374,0.013474,0.027303,0.642857,2019,club_cooccurrence,0.0,stable
Orlando City SC,club,1.0,27,178,0.141476,0.030669,0.009236,1.0,2019,club_cooccurrence,-0.003093,falling
Atlanta United FC,club,1.0,27,302,0.25355,0.047734,0.019943,1.0,2019,club_cooccurrence,0.003554,rising
New York Red Bulls,club,0.888889,24,138,0.115598,0.024679,0.051353,0.9,2019,club_cooccurrence,-0.027505,falling
Vancouver Whitecaps FC,club,0.925926,25,199,0.167038,0.033197,0.024573,0.931034,2019,club_cooccurrence,-0.004411,falling
Colorado Rapids,club,0.962963,26,173,0.139969,0.029859,0.064696,0.964286,2019,club_cooccurrence,-0.003836,falling
New York City FC,club,0.888889,24,176,0.148094,0.030207,0.047911,0.9,2019,club_cooccurrence,0.006937,rising
Chicago Fire FC,club,0.888889,24,219,0.176576,0.036166,0.0,0.9,2019,club_cooccurrence,-0.005496,falling
D.C. United,club,0.962963,26,189,0.156659,0.031858,0.014008,0.964286,2019,club_cooccurrence,-0.011254,falling
Minnesota United FC,club,0.962963,26,169,0.140765,0.029151,0.019231,0.964286,2019,club_cooccurrence,-0.005135,falling
Real Salt Lake,club,0.962963,26,206,0.174761,0.034217,0.041073,0.964286,2019,club_cooccurrence,0.017179,rising
New England Revolution,club,0.888889,24,173,0.14296,0.029643,0.01688,0.9,2019,club_cooccurrence,0.003776,rising
Portland Timbers,club,0.962963,26,288,0.245901,0.04578,0.001899,0.964286,2019,club_cooccurrence,-0.007317,falling
San Jose Earthquakes,club,0.851852,23,112,0.096542,0.020998,0.116192,0.870968,2019,club_cooccurrence,0.000273,stable
LAFC,club,0.962963,26,301,0.266807,0.047262,0.0,0.964286,2019,club_cooccurrence,0.015197,rising
Sporting Kansas City,club,0.888889,24,122,0.104562,0.022417,0.046629,0.9,2019,club_cooccurrence,-0.003231,falling
Austin FC,club,0.37037,10,44,0.160795,0.034922,0.007696,0.6,2019_Q1,club_cooccurrence,0.011028,rising
Columbus Crew,club,0.481481,13,64,0.235357,0.048929,0.005698,0.642857,2019_Q1,club_cooccurrence,-0.001354,stable
FC Cincinnati,club,0.592593,16,62,0.22158,0.048279,0.040205,0.692308,2019_Q1,club_cooccurrence,0.019169,rising
Inter Miami CF,club,0.518519,14,51,0.155792,0.042552,0.019516,0.675,2019_Q1,club_cooccurrence,0.012884,rising
Nashville SC,club,0.444444,12,63,0.260604,0.047532,0.00095,0.642857,2019_Q1,club_cooccurrence,0.023718,rising
CF Montreal,club,0.481481,13,40,0.163234,0.032795,0.044539,0.658537,2019_Q1,club_cooccurrence,-0.008698,falling
FC Dallas,club,0.814815,22,92,0.336127,0.070385,0.077785,0.84375,2019_Q1,club_cooccurrence,0.026646,rising
Houston Dynamo FC,club,0.37037,10,26,0.10124,0.022778,0.069492,0.6,2019_Q1,club_cooccurrence,-0.021101,falling
LA Galaxy,club,0.592593,16,66,0.255849,0.05127,0.043881,0.710526,2019_Q1,club_cooccurrence,-0.008962,falling
Philadelphia Union,club,0.666667,18,75,0.286283,0.061229,0.123314,0.75,2019_Q1,club_cooccurrence,0.019682,rising
Seattle Sounders FC,club,0.592593,16,48,0.149646,0.041136,0.124037,0.710526,2019_Q1,club_cooccurrence,-0.019815,falling
Toronto FC,club,0.592593,16,48,0.171054,0.039434,0.078687,0.710526,2019_Q1,club_cooccurrence,-0.009228,falling
Orlando City SC,club,0.148148,4,9,0.030063,0.011896,0.002707,0.509434,2019_Q1,club_cooccurrence,-0.019033,falling
Atlanta United FC,club,0.740741,20,114,0.392238,0.086109,0.007597,0.794118,2019_Q1,club_cooccurrence,0.037641,rising
New York Red Bulls,club,0.407407,11,33,0.131875,0.027971,0.04789,0.627907,2019_Q1,club_cooccurrence,-0.016747,falling
Vancouver Whitecaps FC,club,0.37037,10,51,0.231685,0.039486,0.000712,0.613636,2019_Q1,club_cooccurrence,0.002658,rising
New York City FC,club,0.333333,9,22,0.079833,0.021752,0.036671,0.586957,2019_Q1,club_cooccurrence,-0.002448,falling
Chicago Fire FC,club,0.481481,13,62,0.267017,0.04694,0.002374,0.658537,2019_Q1,club_cooccurrence,0.010355,rising
D.C. United,club,0.259259,7,19,0.091256,0.017897,0.028449,0.5625,2019_Q1,club_cooccurrence,-0.018453,falling
Minnesota United FC,club,0.222222,6,18,0.057869,0.018382,0.018993,0.55102,2019_Q1,club_cooccurrence,-0.005901,falling
Real Salt Lake,club,0.37037,10,46,0.204468,0.03658,0.004511,0.613636,2019_Q1,club_cooccurrence,0.013609,rising
New England Revolution,club,0.37037,10,26,0.081746,0.024782,0.026591,0.613636,2019_Q1,club_cooccurrence,-0.003465,falling
Portland Timbers,club,0.592593,16,61,0.221793,0.0485,0.04711,0.710526,2019_Q1,club_cooccurrence,-0.005241,falling
Colorado Rapids,club,0.296296,8,22,0.06935,0.02226,0.006529,0.586957,2019_Q1,club_cooccurrence,-0.007334,falling
LAFC,club,0.296296,8,24,0.090184,0.02268,0.029541,0.574468,2019_Q1,club_cooccurrence,-0.015298,falling
Sporting Kansas City,club,0.148148,4,12,0.043618,0.013906,0.0,0.509434,2019_Q1,club_cooccurrence,-0.013879,falling
Charlotte FC,club,0.037037,1,2,0.009749,0.006745,0.0,0.435484,2019_Q1,club_cooccurrence,-0.006729,falling
San Jose Earthquakes,club,0.185185,5,10,0.026994,0.012874,0.005844,0.54,2019_Q1,club_cooccurrence,-0.012392,falling
CF Montreal,club,0.846154,22,126,0.415227,0.082347,0.011897,0.866667,2019_Q2,club_cooccurrence,0.04298,rising
Chicago Fire FC,club,0.730769,19,63,0.201436,0.044373,0.012923,0.787879,2019_Q2,club_cooccurrence,0.010154,rising
New England Revolution,club,0.730769,19,77,0.273189,0.052085,0.007795,0.787879,2019_Q2,club_cooccurrence,0.025368,rising
New York City FC,club,0.653846,17,46,0.152817,0.034266,0.132802,0.742857,2019_Q2,club_cooccurrence,0.008005,rising
Austin FC,club,0.269231,7,22,0.045966,0.021103,0.005231,0.577778,2019_Q2,club_cooccurrence,-0.009713,falling
FC Cincinnati,club,0.692308,18,61,0.184499,0.045151,0.014769,0.764706,2019_Q2,club_cooccurrence,0.009651,rising
Inter Miami CF,club,0.269231,7,27,0.046838,0.024936,0.0,0.577778,2019_Q2,club_cooccurrence,-0.011086,falling
Nashville SC,club,0.192308,5,21,0.035365,0.020646,0.0,0.541667,2019_Q2,club_cooccurrence,-0.014139,falling
Orlando City SC,club,0.692308,18,54,0.164644,0.04004,0.055568,0.764706,2019_Q2,club_cooccurrence,0.012916,rising
Real Salt Lake,club,0.461538,12,35,0.104518,0.027538,0.030769,0.65,2019_Q2,club_cooccurrence,-0.004066,falling
Toronto FC,club,0.807692,21,97,0.33236,0.064599,0.007363,0.83871,2019_Q2,club_cooccurrence,0.022622,rising
LA Galaxy,club,0.769231,20,75,0.245814,0.051807,0.050564,0.8125,2019_Q2,club_cooccurrence,0.000624,stable
Atlanta United FC,club,0.615385,16,36,0.119711,0.027626,0.126978,0.722222,2019_Q2,club_cooccurrence,-0.036633,falling
Minnesota United FC,club,0.423077,11,32,0.075404,0.026458,0.027806,0.634146,2019_Q2,club_cooccurrence,0.006249,rising
Colorado Rapids,club,0.346154,9,32,0.097349,0.025525,0.004359,0.604651,2019_Q2,club_cooccurrence,0.002851,rising
Vancouver Whitecaps FC,club,0.5,13,54,0.222679,0.03747,0.007128,0.666667,2019_Q2,club_cooccurrence,0.000659,stable
Portland Timbers,club,0.615385,16,54,0.192234,0.038689,0.046769,0.722222,2019_Q2,club_cooccurrence,-0.022083,falling
D.C. United,club,0.538462,14,46,0.166057,0.033374,0.010542,0.684211,2019_Q2,club_cooccurrence,0.00657,rising
New York Red Bulls,club,0.423077,11,37,0.151179,0.027395,0.005333,0.634146,2019_Q2,club_cooccurrence,-0.008344,falling
Seattle Sounders FC,club,0.807692,21,88,0.307259,0.059158,0.025231,0.83871,2019_Q2,club_cooccurrence,0.004357,rising
Sporting Kansas City,club,0.5,13,42,0.151337,0.031019,0.001978,0.666667,2019_Q2,club_cooccurrence,0.003402,rising
Philadelphia Union,club,0.653846,17,59,0.226216,0.040909,0.022923,0.742857,2019_Q2,club_cooccurrence,-0.000715,stable
Houston Dynamo FC,club,0.538462,14,45,0.168966,0.032519,0.015956,0.684211,2019_Q2,club_cooccurrence,0.006771,rising
LAFC,club,0.538462,14,37,0.117709,0.028388,0.050513,0.684211,2019_Q2,club_cooccurrence,-0.004757,falling
Columbus Crew,club,0.538462,14,51,0.192337,0.036259,0.006154,0.684211,2019_Q2,club_cooccurrence,-0.013885,falling
San Jose Earthquakes,club,0.461538,12,36,0.132992,0.027138,0.010077,0.65,2019_Q2,club_cooccurrence,0.008909,rising
FC Dallas,club,0.307692,8,23,0.09206,0.019182,0.009026,0.577778,2019_Q2,club_cooccurrence,-0.039929,falling
Austin FC,club,0.333333,9,27,0.041593,0.025571,0.015313,0.6,2019_Q3,club_cooccurrence,-0.002256,falling
Inter Miami CF,club,0.333333,9,23,0.039779,0.023447,0.070078,0.586957,2019_Q3,club_cooccurrence,-0.009856,falling
Nashville SC,club,0.111111,3,13,0.009145,0.015926,0.0,0.45,2019_Q3,club_cooccurrence,-0.016854,falling
